fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
1,easy,sklearn_IF,1024,0.8806981601654589,0.9229164022616241,0.042218242096165204
1,hard,sklearn_IF,42,0.6253138857502349,0.6775184599208354,0.052204574170600426
1,hard,sklearn_IF,123,0.6274660764402167,0.6850865821005936,0.05762050566037691
1,hard,sklearn_IF,456,0.6262486946371115,0.6738463006017403,0.04759760596462881
1,hard,sklearn_IF,789,0.6120228785165747,0.684316677038144,0.07229379852156936
1,hard,sklearn_IF,1024,0.6175579679112999,0.6692567170675445,0.05169874915624462
1,medium,sklearn_IF,42,0.7741200509817774,0.8234297203411295,0.049309669359352104
1,medium,sklearn_IF,123,0.8004371630397717,0.821326385013394,0.020889221973622196
1,medium,sklearn_IF,456,0.7805807982744207,0.8173577484535591,0.0367769501791384
1,medium,sklearn_IF,789,0.7765438127676052,0.8285963977900177,0.0520525850224125
1,medium,sklearn_IF,1024,0.7725931928469956,0.8235582261891804,0.05096503334218483
2,easy,sklearn_IF,42,0.8788978505778977,0.9161076963921096,0.03720984581421194
2,easy,sklearn_IF,123,0.9075783408856384,0.9374529314517517,0.0298745905661133
2,easy,sklearn_IF,456,0.9023373044534202,0.9295051300682164,0.027167825614796248
2,easy,sklearn_IF,789,0.8915713528398226,0.9406062807876486,0.049034927947826046
2,easy,sklearn_IF,1024,0.8863818650564332,0.9241212116707224,0.037739346614289127
2,hard,sklearn_IF,42,0.6237161332654584,0.6706473197107317,0.046931186445273276
2,hard,sklearn_IF,123,0.6211444985069043,0.6912467007862595,0.07010220227935515
2,hard,sklearn_IF,456,0.6288848288156048,0.6742676218858799,0.04538279307027504
2,hard,sklearn_IF,789,0.620705219508415,0.6963529123106926,0.07564769280227768
2,hard,sklearn_IF,1024,0.6177079056637973,0.6719773624597127,0.05426945679591544
2,medium,sklearn_IF,42,0.7636191647242047,0.8134676050920617,0.04984844036785707
2,medium,sklearn_IF,123,0.779950074050725,0.8388519328161397,0.05890185876541465
2,medium,sklearn_IF,456,0.7735244917957074,0.8244116589390741,0.05088716714336672
2,medium,sklearn_IF,789,0.776637958751293,0.8436610526211796,0.06702309386988659
2,medium,sklearn_IF,1024,0.7638442527580953,0.8240858933287665,0.06024164057067116
3,easy,sklearn_IF,42,0.8903254169936795,0.9314410098657944,0.04111559287211486
3,easy,sklearn_IF,123,0.9174049076620184,0.9329742895471429,0.015569381885124467
3,easy,sklearn_IF,456,0.9085983943251663,0.935677635765754,0.02707924144058771
3,easy,sklearn_IF,789,0.8974294667925509,0.9395115111570865,0.042082044364535665
3,easy,sklearn_IF,1024,0.8841710840431867,0.9306513295767569,0.04648024553357022
3,hard,sklearn_IF,42,0.6226678440859797,0.6787183940659869,0.056050549980007136
3,hard,sklearn_IF,123,0.6239068511031416,0.6906620228176192,0.06675517171447765
3,hard,sklearn_IF,456,0.6291736331789057,0.6789055201250292,0.049731886946123516
3,hard,sklearn_IF,789,0.6076770902212245,0.6899759854542422,0.0822988952330177
3,hard,sklearn_IF,1024,0.61230947329578,0.669575538678614,0.057266065382833964
3,medium,sklearn_IF,42,0.7586955686114187,0.8227388419323536,0.06404327332093485
3,medium,sklearn_IF,123,0.7821411080993627,0.8312839217624688,0.04914281366310613
3,medium,sklearn_IF,456,0.7762291614694201,0.8292215139735107,0.05299235250409062
3,medium,sklearn_IF,789,0.7594871890653538,0.8355820656869316,0.07609487662157777
3,medium,sklearn_IF,1024,0.7548968983953004,0.8226171315971964,0.06772023320189602
4,easy,sklearn_IF,42,0.8891225790581184,0.9134810706145249,0.02435849155640646
4,easy,sklearn_IF,123,0.8978642958622283,0.9256063938808592,0.027742098018630923
4,easy,sklearn_IF,456,0.9031642243948855,0.9211665017966119,0.01800227740172633
4,easy,sklearn_IF,789,0.890201376545372,0.9394393659269435,0.049237989381571534
4,easy,sklearn_IF,1024,0.8965863132436349,0.9372779794754669,0.04069166623183196
4,hard,sklearn_IF,42,0.6307834310861327,0.6762482226116624,0.045464791525529735
4,hard,sklearn_IF,123,0.6179056648040058,0.6834901450196125,0.0655844802156067
4,hard,sklearn_IF,456,0.6292958233679775,0.6759270861307931,0.046631262762815595
4,hard,sklearn_IF,789,0.6198129603172129,0.6920071962181733,0.07219423590096041
4,hard,sklearn_IF,1024,0.624068407680404,0.6885477599800303,0.06447935229962631
4,medium,sklearn_IF,42,0.7709358458086942,0.8115890299681816,0.04065318415948738
4,medium,sklearn_IF,123,0.7731473081129583,0.8192591708253241,0.04611186271236578
4,medium,sklearn_IF,456,0.7761002604366726,0.8183243242575902,0.04222406382091759
4,medium,sklearn_IF,789,0.7653693131467645,0.8366742084252445,0.07130489527848005
4,medium,sklearn_IF,1024,0.7689353915286107,0.8386313656278801,0.06969597409926942
