fold,difficulty,budget_pct,algorithm,seed,AUC_PR
4,hard,0.25,sHST-River,456,0.5238095238095238
4,hard,0.25,sHST-River,789,0.5238095238095238
4,hard,0.25,sHST-River,1024,0.5228122397661774
4,medium,0.01,sHST-River,42,0.5238095238095238
4,medium,0.01,sHST-River,123,0.5238095238095238
4,medium,0.01,sHST-River,456,0.5238095238095238
4,medium,0.01,sHST-River,789,0.5238095238095238
4,medium,0.01,sHST-River,1024,0.5234108833429938
4,medium,0.05,sHST-River,42,0.5238095238095238
4,medium,0.05,sHST-River,123,0.5238095238095238
4,medium,0.05,sHST-River,456,0.5238095238095238
4,medium,0.05,sHST-River,789,0.5238095238095238
4,medium,0.05,sHST-River,1024,0.5234108833429938
4,medium,0.1,sHST-River,42,0.5238095238095238
4,medium,0.1,sHST-River,123,0.5238095238095238
4,medium,0.1,sHST-River,456,0.5238095238095238
4,medium,0.1,sHST-River,789,0.5238095238095238
4,medium,0.1,sHST-River,1024,0.5234108833429938
4,medium,0.25,sHST-River,42,0.5238095238095238
4,medium,0.25,sHST-River,123,0.5238095238095238
4,medium,0.25,sHST-River,456,0.5238095238095238
4,medium,0.25,sHST-River,789,0.5238095238095238
4,medium,0.25,sHST-River,1024,0.5234108833429938
0,easy,0.01,MemStream,42,0.8329805287591434
0,easy,0.01,MemStream,123,0.8329805287591434
0,easy,0.01,MemStream,456,0.8329805287591434
0,easy,0.01,MemStream,789,0.8329805287591434
0,easy,0.01,MemStream,1024,0.8329805287591434
0,easy,0.05,MemStream,42,0.8329805287591434
0,easy,0.05,MemStream,123,0.8329805287591434
0,easy,0.05,MemStream,456,0.8329805287591434
0,easy,0.05,MemStream,789,0.8329805287591434
0,easy,0.05,MemStream,1024,0.8329805287591434
0,easy,0.1,MemStream,42,0.8329805287591434
0,easy,0.1,MemStream,123,0.8329805287591434
0,easy,0.1,MemStream,456,0.8329805287591434
0,easy,0.1,MemStream,789,0.8329805287591434
0,easy,0.1,MemStream,1024,0.8329805287591434
0,easy,0.25,MemStream,42,0.8329805287591434
0,easy,0.25,MemStream,123,0.8329805287591434
0,easy,0.25,MemStream,456,0.8329805287591434
0,easy,0.25,MemStream,789,0.8329805287591434
0,easy,0.25,MemStream,1024,0.8329805287591434
0,hard,0.01,MemStream,42,0.24404287899557092
0,hard,0.01,MemStream,123,0.24404287899557092
0,hard,0.01,MemStream,456,0.24404287899557092
0,hard,0.01,MemStream,789,0.24404287899557092
0,hard,0.01,MemStream,1024,0.24404287899557092
0,hard,0.05,MemStream,42,0.24404287899557092
