AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.1404470641058708,0.5241779,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),42,,0,14.044706410587079
0.1404470641058708,0.5241779,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),42,,500,0.028089412821174158
0.1435659619134018,0.5314996999999999,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),123,,0,14.356596191340179
0.1442607219602089,0.5377205666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),123,,500,0.02885214439204178
0.13845288793176988,0.5215994666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),456,,0,13.845288793176987
0.13845288793176988,0.5215994666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,CA-DIF-EIA (streaming),456,,500,0.027690577586353973
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,sHST-River,42,,0,56.52173913043478
0.16612399732594724,0.6102947666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,hard,sHST-River,42,,500,0.03322479946518945
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,sHST-River,123,,0,56.52173913043478
0.16711487044831624,0.6115546333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,hard,sHST-River,123,,500,0.03342297408966325
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,sHST-River,456,,0,56.52173913043478
