difficulty,algo,seed,label_budget,elapsed_s,AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,labels_consumed,anomaly_rate,auc_pr_pre_drift,auc_pr_post_drift,drift_detected_at,drift_point
shifted,SimplifiedMemStream,42,500,18.45194790000096,0.17605337152869777,0.8244182000000001,0.13352272727272727,0.23039215686274508,0.094,0.0157,47,157,9843,453,500,0.047619047619047616,,,,
shifted,FullMemStream,123,0,3.0152766999963205,0.20270253622276993,0.8676021999999999,0.16158940397350993,0.23921568627450981,0.122,0.0194,61,194,9806,439,0,0.047619047619047616,,,,
shifted,SimplifiedMemStream,123,0,18.010962400003336,0.1726305754419623,0.8145908000000001,0.1038961038961039,0.18652849740932642,0.072,0.0157,36,157,9843,464,0,0.047619047619047616,,,,
shifted,FullMemStream,123,100,3.169677600002615,0.20403242978620642,0.8692782,0.15712383488681758,0.2350597609561753,0.118,0.0192,59,192,9808,441,100,0.047619047619047616,,,,
shifted,SimplifiedMemStream,123,100,17.7851992000069,0.1726305754419623,0.8145908000000001,0.1038961038961039,0.18652849740932642,0.072,0.0157,36,157,9843,464,100,0.047619047619047616,,,,
shifted,FullMemStream,123,500,3.203053200006252,0.23592843913539963,0.8990464,0.09210526315789473,0.25925925925925924,0.056,0.008,28,80,9920,472,500,0.047619047619047616,,,,
shifted,SimplifiedMemStream,123,500,20.114942700020038,0.1726305754419623,0.8145908000000001,0.1038961038961039,0.18652849740932642,0.072,0.0157,36,157,9843,464,500,0.047619047619047616,,,,
shifted,FullMemStream,456,0,4.3016200000129174,0.12930400050060187,0.6902888,0.14202898550724638,0.2578947368421053,0.098,0.0141,49,141,9859,451,0,0.047619047619047616,,,,
shifted,SimplifiedMemStream,456,0,27.169549399986863,0.195477486300123,0.8177072,0.16223776223776223,0.26976744186046514,0.116,0.0157,58,157,9843,442,0,0.047619047619047616,,,,
shifted,FullMemStream,456,100,4.467997900006594,0.21491494081966808,0.8620530000000001,0.12052117263843648,0.32456140350877194,0.074,0.0077,37,77,9923,463,100,0.047619047619047616,,,,
shifted,SimplifiedMemStream,456,100,28.69312589999754,0.195477486300123,0.8177072,0.16223776223776223,0.26976744186046514,0.116,0.0157,58,157,9843,442,100,0.047619047619047616,,,,
shifted,FullMemStream,456,500,4.940681100008078,0.19770166504615952,0.8550286,0.08421052631578947,0.34285714285714286,0.048,0.0046,24,46,9954,476,500,0.047619047619047616,,,,
shifted,SimplifiedMemStream,456,500,28.993669599993154,0.195477486300123,0.8177072,0.16223776223776223,0.26976744186046514,0.116,0.0157,58,157,9843,442,500,0.047619047619047616,,,,
shifted,FullMemStream,789,0,3.0628687999851536,0.23589041125924703,0.886432,0.21941992433795712,0.29692832764505117,0.174,0.0206,87,206,9794,413,0,0.047619047619047616,,,,
shifted,SimplifiedMemStream,789,0,28.339804399991408,0.2004156119318837,0.8351090000000001,0.164804469273743,0.27314814814814814,0.118,0.0157,59,157,9843,441,0,0.047619047619047616,,,,
shifted,FullMemStream,789,100,3.7070028000161983,0.263151276735759,0.9066776000000001,0.20485175202156333,0.3140495867768595,0.152,0.0166,76,166,9834,424,100,0.047619047619047616,,,,
shifted,SimplifiedMemStream,789,100,20.712822000001324,0.2004156119318837,0.8351090000000001,0.164804469273743,0.27314814814814814,0.118,0.0157,59,157,9843,441,100,0.047619047619047616,,,,
