fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
7,hard,CA-DIF-EIA,789,0.5985701862013557,0.6834543523231058,0.0848841661217501
7,hard,CA-DIF-EIA,1024,0.6122789444055401,0.6624488015197885,0.05016985711424837
7,medium,CA-DIF-EIA,42,0.7701693596156105,0.8236543255214417,0.05348496590583118
7,medium,CA-DIF-EIA,123,0.7667852670921713,0.8208098446418883,0.05402457754971701
7,medium,CA-DIF-EIA,456,0.7692686108005891,0.802238876655589,0.03297026585499996
7,medium,CA-DIF-EIA,789,0.7455006448980606,0.8305487451024914,0.08504810020443088
7,medium,CA-DIF-EIA,1024,0.7634378522436049,0.8167962700482919,0.053358417804686975
8,easy,CA-DIF-EIA,42,0.9030131990616755,0.9273336137779377,0.024320414716262118
8,easy,CA-DIF-EIA,123,0.9215748149458552,0.9167323742741305,-0.00484244067172479
8,easy,CA-DIF-EIA,456,0.908245838875037,0.931049696033276,0.02280385715823907
8,easy,CA-DIF-EIA,789,0.9012255148128221,0.9411373495345642,0.03991183472174209
8,easy,CA-DIF-EIA,1024,0.8831958109427693,0.9296688914468506,0.04647308050408128
8,hard,CA-DIF-EIA,42,0.6316072129354339,0.6844218334293274,0.052814620493893516
8,hard,CA-DIF-EIA,123,0.6066077608007747,0.6893077705686743,0.0827000097678996
8,hard,CA-DIF-EIA,456,0.6212624893258504,0.6730562117960746,0.05179372247022418
8,hard,CA-DIF-EIA,789,0.5963601938688897,0.7065944316206818,0.11023423775179209
8,hard,CA-DIF-EIA,1024,0.6173593659894607,0.6731845192677182,0.05582515327825743
8,medium,CA-DIF-EIA,42,0.7689166555871926,0.8256593412500599,0.05674268566286733
8,medium,CA-DIF-EIA,123,0.7766470337153182,0.8144947462243142,0.03784771250899599
8,medium,CA-DIF-EIA,456,0.7557285587163504,0.8220221376426691,0.06629357892631871
8,medium,CA-DIF-EIA,789,0.7547202483166043,0.8350417399342376,0.08032149161763324
8,medium,CA-DIF-EIA,1024,0.7640994368549835,0.8253359639166745,0.061236527061691026
9,easy,CA-DIF-EIA,42,0.8968467907497232,0.9205969960851217,0.02375020533539851
9,easy,CA-DIF-EIA,123,0.9235958284349118,0.9181980984914913,-0.005397729943420582
9,easy,CA-DIF-EIA,456,0.908906951611297,0.9433311292693907,0.03442417765809369
9,easy,CA-DIF-EIA,789,0.9061336229708353,0.9515611762231292,0.04542755325229386
9,easy,CA-DIF-EIA,1024,0.9309415654190399,0.9451290294545701,0.014187464035530173
9,hard,CA-DIF-EIA,42,0.6377973552192976,0.687281199434036,0.04948384421473839
9,hard,CA-DIF-EIA,123,0.6248015681580399,0.6969179239796703,0.07211635582163045
9,hard,CA-DIF-EIA,456,0.6453908953673382,0.7022238203591433,0.056832924991805145
9,hard,CA-DIF-EIA,789,0.6301314414261079,0.713976193180599,0.08384475175449113
9,hard,CA-DIF-EIA,1024,0.6428606261202698,0.6794114136154186,0.03655078749514873
9,medium,CA-DIF-EIA,42,0.7733941414847914,0.8207802993766463,0.04738615789185496
9,medium,CA-DIF-EIA,123,0.7816901971514147,0.8110501998169427,0.029360002665527962
9,medium,CA-DIF-EIA,456,0.7794888531717739,0.8392098775859439,0.05972102441417004
9,medium,CA-DIF-EIA,789,0.7739136298075335,0.8523522285344094,0.07843859872687586
9,medium,CA-DIF-EIA,1024,0.7986304262344871,0.8444033665930337,0.04577294035854662
10,easy,CA-DIF-EIA,42,0.9000399355019996,0.9239922351708499,0.023952299668850374
