AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,score_ms,drift_count,update_count,BAR,label_budget,label_fraction,algorithm,fraud_type,fold,month,seed
0.16080129242779953,0.8308201637426901,0.144,0.144,0.144,0.045052631578947365,108,642,13608,642,8692.798137664795,28,28,0.16080129242779953,0,0.0,CA-MemStream-EIA,type3_only,1,1,123
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type3_only,1,1,123
0.05128791166192201,0.5053264093567251,0.053333333333333344,0.05333333333333334,0.05333333333333334,0.04982456140350877,40,710,13540,710,33.01501274108887,0,0,0.05128791166192201,0,0.0,Random,type3_only,1,1,123
0.9436230086316032,0.9718034712924457,0.9146757679180888,0.8933333333333333,0.9370629370629371,0.0056002800140007,670,80,14205,45,5776.258707046509,0,0,0.9436230086316032,0,0.0,MemStream,mixed,1,1,123
0.9425178921490842,0.9705868789942993,0.9133105802047782,0.892,0.9356643356643357,0.005670283514175709,669,81,14204,46,7820.847749710083,0,0,0.9425178921490842,0,0.0,CA-MemStream,mixed,1,1,123
0.944372095245572,0.9715940482338803,0.9133105802047782,0.892,0.9356643356643357,0.005670283514175709,669,81,14204,46,8175.550937652588,37,37,0.944372095245572,0,0.0,CA-MemStream-EIA,mixed,1,1,123
,0.7765123570863858,0.0,0.0,0.0,0.0,0,0,14285,715,0.0,0,0,,0,0.0,Canary-Rules,mixed,1,1,123
0.0489839763096241,0.4958735629089146,0.05870307167235495,0.05733333333333333,0.06013986013986014,0.049492474623731186,43,707,13578,672,30.022859573364258,0,0,0.0489839763096241,0,0.0,Random,mixed,1,1,123
0.9466342152661295,0.9809895155277897,0.9172831203765972,0.9093333333333333,0.9253731343283582,0.004767580452920143,682,68,14195,55,6094.430923461914,0,0,0.9466342152661295,0,0.0,MemStream,hybrid,1,1,123
0.9452922387694169,0.9798292990060437,0.9159381304640216,0.908,0.9240162822252375,0.004837691930168969,681,69,14194,56,6442.664623260498,0,0,0.9452922387694169,0,0.0,CA-MemStream,hybrid,1,1,123
0.9337582090066516,0.9799626725353555,0.8971082716879623,0.8893333333333333,0.9050203527815468,0.005819252611652528,667,83,14180,70,6486.383676528931,22,22,0.9337582090066516,0,0.0,CA-MemStream-EIA,hybrid,1,1,123
,0.8884926422428214,0.0,0.0,0.0,0.0,0,0,14263,737,0.0,0,0,,0,0.0,Canary-Rules,hybrid,1,1,123
0.04929312475613203,0.4947724140542214,0.05245460659045057,0.052,0.052917232021709636,0.049849260323915026,39,711,13552,698,70.99366188049316,0,0,0.04929312475613203,0,0.0,Random,hybrid,1,1,123
0.1605531442861536,0.7021866784423266,0.25734265734265727,0.24533333333333332,0.27058823529411763,0.03952513966480447,184,566,13754,496,5182.702302932739,0,0,0.1605531442861536,0,0.0,MemStream,canary_only,2,2,42
0.1605695702221222,0.7023500657246139,0.25734265734265727,0.24533333333333332,0.27058823529411763,0.03952513966480447,184,566,13754,496,6991.763353347778,0,0,0.1605695702221222,0,0.0,CA-MemStream,canary_only,2,2,42
0.15950264147309018,0.7051253902398947,0.25314685314685315,0.24133333333333334,0.2661764705882353,0.03973463687150838,181,569,13751,499,8513.511896133423,44,44,0.15950264147309018,0,0.0,CA-MemStream-EIA,canary_only,2,2,42
1.0,1.0,1.0,1.0,1.0,0.0,680,0,14320,0,0.0,0,0,1.0,0,0.0,Canary-Rules,canary_only,2,2,42
0.042030746292243265,0.47300156095957935,0.04755244755244755,0.04533333333333334,0.05,0.05,34,716,13604,646,65.00434875488281,0,0,0.042030746292243265,0,0.0,Random,canary_only,2,2,42
0.05769190543671215,0.5830898245614035,0.04533333333333334,0.04533333333333334,0.04533333333333334,0.05024561403508772,34,716,13534,716,4749.198198318481,0,0,0.05769190543671215,0,0.0,MemStream,type1_only,2,2,42
0.05771624056571886,0.5833227134502924,0.04533333333333334,0.04533333333333334,0.04533333333333334,0.05024561403508772,34,716,13534,716,5390.6848430633545,0,0,0.05771624056571886,0,0.0,CA-MemStream,type1_only,2,2,42
