fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
5,hard,1024,CADIFEia,0.8412552971859355,0.0062458792136287,0.0141666212608292,0.0072222222222222,0.3682719546742209,0.5543776638340091,1614.2398999945726,1749.2953000182752,353
6,easy,42,CADIFEia,0.9677704773032878,0.1286839517376571,0.2161383285302593,0.15,0.3865979381443299,0.6664696741118531,1826.1040000070352,1891.3930999988224,388
6,easy,123,CADIFEia,0.9732764036457532,0.2687554997687258,0.286743515850144,0.199,0.5128865979381443,0.6650920430668268,1704.6910999924876,1897.3506999900565,388
6,easy,456,CADIFEia,0.9722235879875,0.0862737351470295,0.1657060518731988,0.115,0.2963917525773196,0.6666894507019109,1844.1694999928584,2005.074400018202,388
6,easy,789,CADIFEia,0.970303613236483,0.1946534172990827,0.2579250720461095,0.179,0.461340206185567,0.6651385971416708,1678.863299981458,1869.7266000090167,388
6,easy,1024,CADIFEia,0.97310841021272,0.2176357524551817,0.2319884726224783,0.161,0.4149484536082474,0.6655661313606839,1301.5592000156175,1644.284100009827,388
6,medium,42,CADIFEia,0.9351792019573132,0.0225685229613586,0.0554765291607396,0.039,0.0960591133004926,0.6644134403779061,1608.010900003137,1922.4434999923687,406
6,medium,123,CADIFEia,0.9428784644651302,0.0489607750817004,0.081081081081081,0.057,0.1403940886699507,0.6635698479989369,1859.5169000036549,1968.6329999822192,406
6,medium,456,CADIFEia,0.9448804718899564,0.0234936357509757,0.0415627597672485,0.025,0.1231527093596059,0.6533642298031226,2070.142200012924,1991.2105000112208,406
6,medium,789,CADIFEia,0.938213033048221,0.0426339460692336,0.0654338549075391,0.046,0.1133004926108374,0.6631318501892767,1791.324200021336,1784.3291999888606,406
6,medium,1024,CADIFEia,0.9471905184272842,0.0494548165740994,0.081081081081081,0.057,0.1403940886699507,0.6645669797183235,1913.8299000042025,1737.617600010708,406
6,hard,42,CADIFEia,0.8914202213413027,0.0111843060683981,0.0351906158357771,0.024,0.0659340659340659,0.6647276558875548,1469.4710000185296,1603.3025999786332,364
6,hard,123,CADIFEia,0.8977728889656096,0.0140893163067363,0.0425219941348973,0.029,0.0796703296703296,0.6630922627803454,1605.0162000174168,1954.759099986404,364
6,hard,456,CADIFEia,0.9143920919590138,0.0126018838801942,0.032258064516129,0.022,0.0604395604395604,0.6666337144286145,1584.71749999444,1968.5877000156324,364
6,hard,789,CADIFEia,0.9039095934821154,0.0213862698033926,0.0454545454545454,0.031,0.0851648351648351,0.6635542634817926,1849.715699994704,1950.4765000019688,364
6,hard,1024,CADIFEia,0.9105270631009976,0.0172300492610177,0.0425219941348973,0.029,0.0796703296703296,0.6640845265449413,1837.1410999970976,2077.864300023066,364
7,easy,42,CADIFEia,0.979733014471118,0.2078573865724171,0.2716763005780346,0.188,0.4895833333333333,0.6683944697967807,1684.3851000012364,1913.26180001488,384
7,easy,123,CADIFEia,0.9773751540457678,0.1711060401574063,0.2572254335260115,0.178,0.4635416666666667,0.6668802011841106,2066.8860000150744,2022.0867000170983,384
7,easy,456,CADIFEia,0.9753537338565044,0.2424617955562501,0.2557803468208092,0.177,0.4609375,0.6699640154972516,1308.0947999842465,1614.613499987172,384
7,easy,789,CADIFEia,0.9753581433644264,0.208265425937452,0.2355491329479768,0.163,0.4244791666666667,0.6706399405656073,1475.1083999872208,1839.5954000006896,384
7,easy,1024,CADIFEia,0.9774898795270252,0.1808801934764433,0.2124277456647398,0.147,0.3828125,0.6672860149555552,1667.224399978295,1825.0633999996355,384
7,medium,42,CADIFEia,0.951932594652054,0.0623035773826613,0.0821692686935086,0.05,0.2304147465437788,0.6513441986089947,1609.244099992793,1808.0222999851685,434
7,medium,123,CADIFEia,0.9511074861943504,0.0488099369433515,0.0690221857025472,0.042,0.1935483870967742,0.6519737848404936,1622.2390000184532,1986.5231000003405,434
7,medium,456,CADIFEia,0.9463085356052126,0.0674479201984988,0.0836820083682008,0.06,0.1382488479262673,0.6689994418432854,1731.1500000068918,1828.2813999976495,434
7,medium,789,CADIFEia,0.9460920289193449,0.0655483857187587,0.0934449093444909,0.067,0.1543778801843318,0.6689584596852094,1851.387199974852,1891.4686999924013,434
7,medium,1024,CADIFEia,0.949147657328846,0.0595475441352335,0.0878661087866108,0.063,0.1451612903225806,0.6662921897893179,1307.033799996134,1632.4795999971684,434
7,hard,42,CADIFEia,0.8895632040245937,0.012228631715017,0.0389329488103821,0.027,0.0697674418604651,0.666806284806347,1359.6382999967318,1709.9148000124842,387
7,hard,123,CADIFEia,0.890864520521628,0.0116506150068358,0.0346070656092285,0.024,0.0620155038759689,0.6657517209194178,1553.2535000238568,1924.103400000604,387
7,hard,456,CADIFEia,0.875096502947674,0.0121758318978201,0.0331651045421773,0.023,0.0594315245478036,0.6691886074669152,1702.973600011319,1876.9230999751016,387
7,hard,789,CADIFEia,0.8797675051612468,0.0139132927696235,0.0331651045421773,0.023,0.0594315245478036,0.6692761961208679,1828.679900005227,1955.5946000036784,387
7,hard,1024,CADIFEia,0.8912722474577456,0.0172226668754399,0.0403749098774333,0.028,0.0723514211886304,0.6669258707252292,1435.3936999978032,1785.2790000033565,387
8,easy,42,CADIFEia,0.967314020196722,0.0835181326844778,0.1823662396382818,0.121,0.3700305810397553,0.6593359659343695,1972.7180000045337,1876.79229999776,327
8,easy,123,CADIFEia,0.9724942023327408,0.2623330649758164,0.2622456669178598,0.174,0.5321100917431193,0.655420521853075,1717.750200012233,1836.3344999961555,327
8,easy,456,CADIFEia,0.9696897393599392,0.051508201005414,0.1203266007735281,0.07,0.4281345565749235,0.6463009502712374,1597.6525000005497,1938.777500006836,327
8,easy,789,CADIFEia,0.9710139686950856,0.1170616103942663,0.2079879427279578,0.138,0.4220183486238532,0.663547013051692,1653.2422000018414,1824.0767000243068,327
8,easy,1024,CADIFEia,0.9728162579456556,0.1247362161998857,0.2049736247174076,0.136,0.4159021406727828,0.6640852692701318,1882.6498000125864,2108.5804000031203,327
8,medium,42,CADIFEia,0.9249613677194702,0.0206409251366048,0.056934306569343,0.039,0.1054054054054054,0.6573399342840058,1643.8794999849051,1858.8142999797128,370
8,medium,123,CADIFEia,0.934992980256718,0.0428663679048665,0.0934306569343065,0.064,0.1729729729729729,0.6533557219739542,1749.2518999788444,1845.5110999930184,370
