timestamp,y_true,iforest_score,trip_count,anomaly_type
2024-07-26 10:00:00,0,-0.06536661915827452,1814.0,
2024-07-26 10:30:00,0,-0.07661271385075707,1925.0,
2024-07-26 11:00:00,0,-0.08965623897699498,2028.0,
2024-07-26 11:30:00,0,-0.09965405407687905,2150.0,
2024-07-26 12:00:00,0,-0.10595674189282084,2273.0,
2024-07-26 12:30:00,0,-0.10463591657407051,2246.0,
2024-07-26 13:00:00,0,-0.09290235193012397,2277.0,
2024-07-26 13:30:00,0,-0.10129548476512085,2440.0,
2024-07-26 14:00:00,0,-0.1043499393868641,2522.0,
2024-07-26 14:30:00,0,-0.1032303717137566,2639.0,
2024-07-26 15:00:00,0,-0.10087012475471885,2683.0,
2024-07-26 15:30:00,0,-0.10266099149272118,2649.0,
2024-07-26 16:00:00,0,-0.10297043406052075,2672.0,
2024-07-26 16:30:00,0,-0.10540369210471728,2774.0,
2024-07-26 17:00:00,0,-0.0948434724871835,2816.0,
2024-07-26 17:30:00,0,-0.09348148100808562,2737.0,
2024-07-26 18:00:00,0,-0.08638994464062305,2915.0,
2024-07-26 18:30:00,0,-0.08895151591057088,2914.0,
2024-07-26 19:00:00,0,-0.07062469865108767,3109.0,
2024-07-26 19:30:00,0,-0.10416028543817796,2693.0,
2024-07-26 20:00:00,0,-0.0864025195831078,2392.0,
2024-07-26 20:30:00,0,-0.08759232593846383,2272.0,
2024-07-26 21:00:00,0,-0.0825148939298519,2301.0,
2024-07-26 21:30:00,0,-0.09078780801862768,2446.0,
2024-07-26 22:00:00,0,-0.08983784668512035,2468.0,
2024-07-26 22:30:00,0,-0.09416271687155436,2489.0,
2024-07-26 23:00:00,0,-0.0906286133579351,2331.0,
2024-07-26 23:30:00,0,-0.07545790192857577,2116.0,
2024-07-27 00:00:00,0,-0.06859559569607054,1988.0,
2024-07-27 00:30:00,0,-0.073973540475404,1869.0,
2024-07-27 01:00:00,0,-0.07028148016643448,1657.0,
2024-07-27 01:30:00,0,-0.05897252963082844,1490.0,
2024-07-27 02:00:00,0,-0.038794167767142174,1314.0,
2024-07-27 02:30:00,0,-0.04731284285113091,1098.0,
2024-07-27 03:00:00,0,-0.04433106149139998,860.0,
2024-07-27 03:30:00,0,-0.042330672142855685,691.0,
2024-07-27 04:00:00,0,-0.04068507941002042,497.0,
2024-07-27 04:30:00,0,-0.04119218905689925,236.0,
2024-07-27 05:00:00,0,-0.035360325641857315,146.0,
2024-07-27 05:30:00,0,-0.048305661420080415,186.0,
2024-07-27 06:00:00,0,-0.049766959347835205,274.0,
2024-07-27 06:30:00,0,-0.03498865361129888,439.0,
2024-07-27 07:00:00,0,-0.041632718981547856,474.0,
2024-07-27 07:30:00,0,-0.05127163410051594,661.0,
2024-07-27 08:00:00,0,-0.04706568545813772,689.0,
2024-07-27 08:30:00,0,-0.050287079826978,880.0,
2024-07-27 09:00:00,0,-0.06440654856589079,1075.0,
2024-07-27 09:30:00,0,-0.05634329415386363,1415.0,
2024-07-27 10:00:00,0,-0.05305406475695196,1554.0,
2024-07-27 10:30:00,0,-0.052681827852335716,1783.0,
2024-07-27 11:00:00,0,-0.06694410440170573,1836.0,
2024-07-27 11:30:00,0,-0.07505527610863255,2076.0,
2024-07-27 12:00:00,1,-0.0813362622987156,2076.0,point_drop
2024-07-27 12:30:00,1,-0.09116122637751028,2200.0,point_spike
2024-07-27 13:00:00,0,-0.10087962896541364,2330.0,
2024-07-27 13:30:00,0,-0.11165093864955078,2325.0,
2024-07-27 14:00:00,0,-0.11138642771851781,2240.0,
2024-07-27 14:30:00,0,-0.10857784981677815,2465.0,
2024-07-27 15:00:00,0,-0.10465304639224493,2431.0,
2024-07-27 15:30:00,0,-0.10456581221782502,2479.0,
2024-07-27 16:00:00,0,-0.10242801223938569,2467.0,
2024-07-27 16:30:00,0,-0.0961878150375054,2584.0,
2024-07-27 17:00:00,0,-0.09436653563717978,2631.0,
2024-07-27 17:30:00,0,-0.09553396262735253,2649.0,
2024-07-27 18:00:00,0,-0.09222905973900275,2667.0,
2024-07-27 18:30:00,0,-0.08908975706386213,2664.0,
2024-07-27 19:00:00,0,-0.07998622324760424,2497.0,
2024-07-27 19:30:00,0,-0.07798050971994047,2432.0,
2024-07-27 20:00:00,0,-0.07932945602693908,2216.0,
